id,course_code,course_name,ug_pg,core_elective,is_first_year,created_at,updated_at
1,CSE311/CSE511/ECE511,Computer Architecture,UG/PG,Elective,No,,
2,CSE665A,Distributed and Federated Machine Learning DFML,UG/PG,Elective,No,,
3,CSE600/ECE600/ECE600A,Object Oriented Programming and Design,UG/PG,Core/Elective,No,,
4,CSE640,Collaborative Filtering,UG/PG,Elective,No,,
5,CSE654/ECE654,High Dimensional Optimization & Statistics,UG/PG,Elective,No,,
6,CSE112,Computer Organisation,UG,Core,Yes,,
7,CSE121,Discrete Mathematics,UG/PG,Elective,No,,
8,CSE201,Advanced Programming- Sec A,UG/PG,Elective,No,,
9,CSE231,Operating Systems - Sec A,UG/PG,Elective,No,,
10,CSE340/CSE540/ECE350,Digital Image Processing,UG/PG,Elective,No,,
11,CSE342/ECE356,Statistical Machine Learning,UG/PG,Core/Elective,No,,
12,CSE343/CSE543/ECE363/ECE563,Machine Learning,UG/PG,Core/Elective,No,,
13,CSE344/CSE544/ECE344/ECE544,Computer Vision,UG/PG,Elective,No,,
14,CSE513,Parallel Runtimes for Modern Processors,UG/PG,Elective,No,,
15,CSE516/ECE559,Theories of Deep Learning,UG/PG,Elective,No,,
16,CSE535,Mobile Computing,UG/PG,Elective,No,,
17,CSE538/ECE538,Wireless Networks,UG/PG,Core/Elective,No,,
18,CSE542/ECE556,Statistical Machine Learning,UG/PG,Elective,No,,
19,CSE572/ECE561,Speech and Audio Processing,UG/PG,Elective,No,,
20,CSE633/ECE670,Robotics,UG/PG,Elective,No,,
21,CSE641/ECE555,Deep Learning,UG/PG,Elective,No,,
22,CSE642,Advanced Machine Learning,UG/PG,Elective,No,,
23,CSE643,Artificial Intelligence,UG/PG,Elective,No,,
24,CSE665,Large language Models,UG/PG,Elective,No,,
25,CSE999A,Build Basic Generative Adversarial Networks (GANs),UG/PG,Elective,No,,
26,CSE999A2,Machine Learning Engineering for Production (MLOps) Specialization,UG/PG,Elective,No,,
27,ECE214,Integrated Electronics,UG,Core,No,,
28,ECE113,Basic Electronics,UG,Core,Yes,,
29,ECE240,Principles of Communication Systems,UG,Core,No,,
30,ECE313/ECE513,VLSI Design Flow,UG/PG,Core/Elective,No,,
31,CSE564/ECE564,Reinforcement Learning,UG/PG,Elective,No,,
32,CSE998,Introduction to Programming Internet of Things,UG/PG,Elective,No,,
33,ECE111,Digital Circuits,UG,Core,Yes,,
34,ECE210/ECE310,Physics of Semiconductor Devices,UG,Core,No,,
35,ECE211,Electronic System Design (New),UG,Core,No,,
36,ECE215,Circuit Theory and Devices,UG,Core,No,,
37,ECE230,Fields and Waves,UG,Core,No,,
38,ECE250,Signals and Systems,UG,Core,No,,
39,ECE270,Embedded Logic Design,UG,Core,No,,
40,ECE314/ECE514,Digital VLSI Design,UG/PG,Core/Elective,No,,
41,ECE315/ECE515,Analog CMOS Circuit Design,UG/PG,Core,No,,
42,ECE318/ECE518,Solid State Devices,UG/PG,Elective,No,,
43,ECE331/ECE531,Applied Fields & Waves,UG/PG,Elective,No,,
44,ECE340,Digital Communication Systems,UG/PG,Elective,No,,
45,ECE343,Mobile Communication,UG/PG,Elective,No,,
46,ECE347/ECE547,Advanced Digital Communications,UG/PG,Elective,No,,
47,ECE351,Digital Signal Processing,UG/PG,Elective,No,,
48,ECE366/ECE566,Neural Engineering and Implantable Devices (New),UG/PG,Elective,No,,
49,ECE431/ECE631,Antennas Theory and Design,UG/PG,Elective,No,,
50,ECE432/ECE632,Radar System,UG/PG,Elective,No,,
51,ECE501,Probability and Random Processes,UG/PG,Core/Elective,No,,
52,ECE517,Introduction to Nanoelectronics,UG/PG,Elective,No,,
53,ECE522,Integrated Circuit Fabrication,UG/PG,Elective,No,,
54,ECE524,Quantum Materials and Devices,UG/PG,Elective,No,,
55,ECE525,Quantum Mechanics (new),UG/PG,Elective,No,,
56,ECE527,Advanced Digital Design and Verification,UG/PG,Elective,No,,
57,ECE529,Quantum Optics,UG/PG,Elective,No,,
58,ECE530,Quantum Communication and Networks,UG/PG,Elective,No,,
59,ECE537,Wireless communication : Evolution from 3G to 5G,UG/PG,Elective,No,,
60,ECE539,Wireless System Implementation,UG/PG,Elective,No,,
61,ECE543,Advanced Digital Communications (Students interested in taking DCS course should opt for ADC),UG/PG,Elective,No,,
62,ECE546,Optical and Wireless Convergence for Beyond 5G Networks and IoT (New),UG/PG,Elective,No,,
63,ECE548,Advanced Digital Communications,UG/PG,Core/Elective,No,,
64,CSE515/ECE551,Bayesian Machine Learning,UG/PG,Elective,No,,
65,ECE560,Data Processing and Management,UG/PG,Elective,No,,
66,ECE565,Tomographic Imaging (Computerized Tomography) (New),UG/PG,Elective,No,,
67,ECE567,Nano and Metaphotonics,UG/PG,Elective,No,,
68,ECE570,Linear Systems Theory,UG/PG,Elective,No,,
69,ECE571,Optimal Control Systems,UG/PG,Elective,No,,
70,ECE572,Estimation Theory for Dynamic Systems,UG/PG,Elective,No,,
71,ECE573,Advanced Embedded Logic Design,UG/PG,Core/Elective,No,,
72,ECE577,Machine Learning Techniques for Real Time Control,UG/PG,Elective,No,,
73,ECE611,Memory Design and Test,UG/PG,Elective,No,,
74,ECE613,Advanced Solid State Devices (New),UG/PG,Elective,No,,
75,ECE614,Emerging Memory Devices for Neuromorphic Computing,UG/PG,Elective,No,,
76,CSE646/ECE634,Information Theory,UG/PG,Elective,No,,
77,ECE636,Communication Networks,UG/PG,Elective,No,,
78,CSE517/ECE666,Applied Optimization Methods for Machine Learning,UG/PG,Elective,No,,
79,CSE677/ECE677,Advances in Deep Learning,UG/PG,Elective,No,,
80,ECE998,Introduction To Internet Of Things +,UG/PG,Elective,No,,
81,ECE999,Self Driving Cars Specialization,UG/PG,Elective,No,,
82,ECE999A,Introduction to Internet of Things,UG/PG,Elective,No,,
83,ECE999A1,Quantum Transport,UG/PG,Elective,No,,
84,ECE999A2,Advanced Computer Architecture,UG/PG,Elective,No,,
85,ECE999A3,Microprocessors and Microcontrollers,UG/PG,Elective,No,,
86,ENG599S,Research Methods,PG,Core,No,,
87,ENT416/ENT516,Creativity Innovation and Inventive Problem Solving,UG/PG,Elective,No,,
88,MTH201,Probability and Statistics,UG,Core,Yes,,
89,MTH310/MTH520,Graph Theory,UG/PG,Elective,No,,
90,MTH371,Stochastic Processes and Applications,UG/PG,Elective,No,,
91,MTH374/MTH574,Linear Optimization,UG/PG,Elective,No,,
