id,faculty_name,year,exact_year,collaboration_type,company_place,duration,outcomes,created_at,updated_at
1,Sanat K Biswas,,,Collaboration,"Skykraft, Australia",16 months,"LEO-PNT signal Structure, timing Architecture design, conference papers - 2, research fund - 1",2026-06-23 00:00:00,2026-06-23 00:00:00
2,Sumit J Darak,,,Consultancy,"VVDN Technology, Delhi",31 months,5G Small Cell Design,2026-06-23 00:00:00,2026-06-23 00:00:00
3,Sumit J Darak,,,Consultancy,"Apexplus Technology, Hyderabad",13 months,Signal processing on system on chip (SoC),2026-06-23 00:00:00,2026-06-23 00:00:00
4,Sumit J Darak,,,Consultancy,"Apexplus Technology, Hyderabad",12 months,Signal processing on system on chip (SoC),2026-06-23 00:00:00,2026-06-23 00:00:00
5,Sumit J Darak,,,Consultancy,"Arka Aerospace, Hyderabad",2 months,Signal processing on RFSoC and 14 GHz analog front-end design,2026-06-23 00:00:00,2026-06-23 00:00:00
6,Sumit J Darak,,,Qualcomm Innovation Fellowship,"Qualcomm, Bengaluru",12 months,Software/Hardware Prototype of IEEE 802.11ad/ay Based Joint Radar-Communication Transceiver,2026-06-23 00:00:00,2026-06-23 00:00:00
7,Sumit J Darak,,,Qualcomm Innovation Fellowship,"Qualcomm, Bengaluru",12 months,Intelligent and Reconfigurable Deep Learning Augmented Wireless Channel Estimation at Edge,2026-06-23 00:00:00,2026-06-23 00:00:00
8,Sumit J Darak,,,Qualcomm Innovation Fellowship,"Qualcomm, Bengaluru",12 months,Development of Hardware Prototype of IEEE 802.11ad Based Wideband ISAC at mmWave Frequency,2026-06-23 00:00:00,2026-06-23 00:00:00
9,Sujay Deb,,,Thales India,"Thales India, Bengaluru",37 months,NoC for Safety Critical Multicore Processing Systems,2026-06-23 00:00:00,2026-06-23 00:00:00
10,Abhijit Mitra,,,Advanced Optical Communication Testbed,"Tejas Networks, Bengaluru",25 months,Students were trained over C+L Band Testbed,2026-06-23 00:00:00,2026-06-23 00:00:00
11,Arani Bhattacharya,,,University Research,"Cisco India, Bengaluru",24 months,Sustainable Traffic Surveillance,2026-06-23 00:00:00,2026-06-23 00:00:00
12,Ranjitha Prasad,,,Qualcomm Innovation Fellowship,"Qualcomm, Bengaluru",12 months,Federated Learning for Overparametrized Neural Networks,2026-06-23 00:00:00,2026-06-23 00:00:00
13,Ranjitha Prasad,,,Collaboration,"TEC, Delhi",24 months,Nishpaksh: Fairness assessment and auditing tool development,2026-06-23 00:00:00,2026-06-23 00:00:00
14,Ranjitha Prasad,,,Collaboration,"Lightmetrics, Bangalore",28 months,"Near OoD Detection, Unsupervised FL",2026-06-23 00:00:00,2026-06-23 00:00:00
15,Anuj Grover,,,Collaboration,"STMicroelectronics, India",24 months,Design of In-Memory Compute Infrastructure for SOC Design,2026-06-23 00:00:00,2026-06-23 00:00:00
16,Anuj Grover,,,Collaboration,"STMicroelectronics, India",48 months,Design of on-chip instrumentation for Test Vehicle Characterization,2026-06-23 00:00:00,2026-06-23 00:00:00
17,Anuj Grover,,,Collaboration,"STMicroelectronics, India",48 months,Design of Ageing Sensors for high performance SOCs,2026-06-23 00:00:00,2026-06-23 00:00:00
18,Anuj Grover,,,Collaboration,"STMicroelectronics, India",30 months,Design and Modeling of In-Memory compute for Analog IMC,2026-06-23 00:00:00,2026-06-23 00:00:00
19,Anuj Grover,,,Collaboration,"STMicroelectronics, India",26 months,Design of agentic AI models for Analog Circuit Design,2026-06-23 00:00:00,2026-06-23 00:00:00
20,Anuj Grover,,,Collaboration,"STMicroelectronics, India",22 months,Design of current compensation to improve measurement efficiency of Test Vehicles,2026-06-23 00:00:00,2026-06-23 00:00:00
21,Anuj Grover,,,Collaboration,"STMicroelectronics, India",18 months,Design of Ultra Wide Voltage Range SRAM,2026-06-23 00:00:00,2026-06-23 00:00:00
22,Anuj Grover,,,Collaboration,Eurus Network,6 months,"Design of secure, intelligent internet calling software",2026-06-23 00:00:00,2026-06-23 00:00:00
23,A V Subramanyam,,,Collaboration,Dolby Digital,3 months,Submitted paper and a patent is under review.,2026-06-23 00:00:00,2026-06-23 00:00:00
24,A V Subramanyam,,,Collaboration,Adobe,6 months,Local attribute based image generation,2026-06-23 00:00:00,2026-06-23 00:00:00
